vehicle_id,feature_id
VEH-000001,FEAT-002
VEH-000001,FEAT-004
VEH-000001,FEAT-005
VEH-000001,FEAT-006
VEH-000001,FEAT-007
VEH-000001,FEAT-008
VEH-000001,FEAT-009
VEH-000001,FEAT-010
VEH-000001,FEAT-012
VEH-000001,FEAT-013
VEH-000001,FEAT-014
VEH-000001,FEAT-015
VEH-000001,FEAT-018
VEH-000001,FEAT-022
VEH-000001,FEAT-023
VEH-000002,FEAT-001
VEH-000002,FEAT-002
VEH-000002,FEAT-006
VEH-000002,FEAT-008
VEH-000002,FEAT-013
VEH-000002,FEAT-014
VEH-000002,FEAT-015
VEH-000002,FEAT-020
VEH-000002,FEAT-023
VEH-000003,FEAT-001
VEH-000003,FEAT-002
VEH-000003,FEAT-005
VEH-000003,FEAT-006
VEH-000003,FEAT-008
VEH-000003,FEAT-011
VEH-000003,FEAT-013
VEH-000003,FEAT-014
VEH-000003,FEAT-016
VEH-000003,FEAT-018
VEH-000003,FEAT-020
VEH-000003,FEAT-023
VEH-000003,FEAT-024
VEH-000004,FEAT-001
VEH-000004,FEAT-002
VEH-000004,FEAT-003
VEH-000004,FEAT-011
VEH-000004,FEAT-012
VEH-000004,FEAT-013
VEH-000004,FEAT-014
VEH-000004,FEAT-020
VEH-000004,FEAT-022
VEH-000004,FEAT-023
VEH-000004,FEAT-024
VEH-000005,FEAT-001
VEH-000005,FEAT-002
VEH-000005,FEAT-003
VEH-000005,FEAT-004
VEH-000005,FEAT-005
VEH-000005,FEAT-006
VEH-000005,FEAT-007
VEH-000005,FEAT-008
VEH-000005,FEAT-012
VEH-000005,FEAT-013
VEH-000005,FEAT-014
VEH-000005,FEAT-015
VEH-000005,FEAT-016
VEH-000005,FEAT-018
VEH-000005,FEAT-020
VEH-000005,FEAT-022
VEH-000005,FEAT-023
VEH-000005,FEAT-024
VEH-000006,FEAT-001
VEH-000006,FEAT-002
VEH-000006,FEAT-003
VEH-000006,FEAT-005
VEH-000006,FEAT-006
VEH-000006,FEAT-007
VEH-000006,FEAT-008
VEH-000006,FEAT-009
VEH-000006,FEAT-010
VEH-000006,FEAT-011
VEH-000006,FEAT-012
VEH-000006,FEAT-013
VEH-000006,FEAT-014
VEH-000006,FEAT-015
VEH-000006,FEAT-016
VEH-000006,FEAT-018
VEH-000006,FEAT-019
VEH-000006,FEAT-020
VEH-000006,FEAT-022
VEH-000006,FEAT-023
VEH-000006,FEAT-024
VEH-000007,FEAT-001
VEH-000007,FEAT-002
VEH-000007,FEAT-003
VEH-000007,FEAT-004
VEH-000007,FEAT-005
VEH-000007,FEAT-006
VEH-000007,FEAT-008
VEH-000007,FEAT-012
VEH-000007,FEAT-013
VEH-000007,FEAT-014
VEH-000007,FEAT-015
VEH-000007,FEAT-022
VEH-000007,FEAT-023
